State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Indiana,Lake County,91733,124801,12,0.005
Indiana,LaPorte County,25991,22419,0,0.000
Indiana,Lawrence County,15601,4961,1,0.004
Indiana,Madison County,31153,19459,0,0.000
Indiana,Marion County,133902,247034,34,0.008
Indiana,Marshall County,13841,5712,0,0.000
Indiana,Martin County,4029,1011,0,0.000
Indiana,Miami County,10925,3235,0,0.000
Indiana,Monroe County,22062,39855,1,0.001
Indiana,Montgomery County,12659,4212,1,0.005
Indiana,Morgan County,27510,7777,1,0.003
Indiana,Newton County,4942,1509,0,0.000
Indiana,Noble County,14195,4660,0,0.000
Indiana,Ohio County,2392,750,0,0.000
Indiana,Orange County,6432,2224,1,0.011
Indiana,Owen County,7285,2419,1,0.009
Indiana,Parke County,5398,1503,0,0.000
Indiana,Perry County,5343,3202,0,0.000
Indiana,Pike County,4692,1415,1,0.015
Indiana,Porter County,44899,39537,3,0.003
Indiana,Posey County,9206,3811,0,0.000
Indiana,Pulaski County,4246,1463,1,0.016
Indiana,Putnam County,12278,3946,0,0.000
Indiana,Randolph County,8312,2512,1,0.008
Indiana,Ripley County,11261,2774,1,0.006
Indiana,Rush County,6035,1754,0,0.000
Indiana,St. Joseph County,53152,59870,4,0.003
Indiana,Scott County,7328,2698,0,0.000
Indiana,Shelby County,14568,5023,2,0.009
Indiana,Spencer County,7354,3208,1,0.009
Indiana,Starke County,7466,2650,1,0.009
Indiana,Steuben County,11322,4509,0,0.000
Indiana,Sullivan County,6687,2153,1,0.010
Indiana,Switzerland County,3133,964,0,0.000
Indiana,Tippecanoe County,34571,34993,2,0.003
Indiana,Tipton County,6110,1834,0,0.000
Indiana,Union County,2687,736,0,0.000
Indiana,Vanderburgh County,41838,34404,6,0.007
Indiana,Vermillion County,5184,2145,0,0.000
Indiana,Vigo County,24512,18080,5,0.011
Indiana,Wabash County,10762,3494,2,0.013
Indiana,Warren County,3401,974,0,0.000
Indiana,Warrick County,21324,11919,1,0.003
Indiana,Washington County,9112,2783,1,0.008
Indiana,Wayne County,17567,9524,0,0.000
Indiana,Wells County,10855,2928,0,0.000
Indiana,White County,7353,2868,1,0.009
Indiana,Whitley County,12856,4233,0,0.000
Iowa,Adair County,2917,1197,0,0.000
Iowa,Adams County,1528,590,0,0.000
Iowa,Allamakee County,4733,2575,0,0.000
Iowa,Appanoose County,4508,1889,0,0.000
Iowa,Audubon County,2292,1071,0,0.000
Iowa,Benton County,9179,5156,0,0.000
Iowa,Black Hawk County,29623,35621,0,0.000
Iowa,Boone County,8676,6293,2,0.012
Iowa,Bremer County,8287,5954,0,0.000
Iowa,Buchanan County,6418,4167,0,0.000
Iowa,Buena Vista County,5004,2919,0,0.000
Iowa,Butler County,5540,2423,0,0.000
Iowa,Calhoun County,3687,1469,0,0.000
