,state,county,candidate,party,voteStates,lead
299,Florida,Indian River County,Jo Jorgensen,LIB,532,Donald Trump
300,Florida,Indian River County, Write-ins,WRI,258,Donald Trump
301,Florida,Indian River County,Howie Hawkins,GRN,117,Donald Trump
302,Florida,Indian River County,Rocky De La Fuente,ALI,43,Donald Trump
303,Florida,Indian River County,Don Blankenship,CST,38,Donald Trump
304,Florida,Indian River County,Gloria La Riva,PSL,33,Donald Trump
305,Florida,Jackson County,Donald Trump,REP,15466,Donald Trump
306,Florida,Jackson County,Joe Biden,DEM,6749,Donald Trump
307,Florida,Jackson County,Jo Jorgensen,LIB,114,Donald Trump
308,Florida,Jackson County, Write-ins,WRI,42,Donald Trump
309,Florida,Jackson County,Rocky De La Fuente,ALI,13,Donald Trump
310,Florida,Jackson County,Howie Hawkins,GRN,13,Donald Trump
311,Florida,Jackson County,Gloria La Riva,PSL,13,Donald Trump
312,Florida,Jackson County,Don Blankenship,CST,5,Donald Trump
313,Florida,Jefferson County,Donald Trump,REP,4474,Donald Trump
314,Florida,Jefferson County,Joe Biden,DEM,3893,Donald Trump
315,Florida,Jefferson County,Jo Jorgensen,LIB,46,Donald Trump
316,Florida,Jefferson County, Write-ins,WRI,20,Donald Trump
317,Florida,Jefferson County,Howie Hawkins,GRN,13,Donald Trump
318,Florida,Jefferson County,Don Blankenship,CST,5,Donald Trump
319,Florida,Jefferson County,Rocky De La Fuente,ALI,4,Donald Trump
320,Florida,Jefferson County,Gloria La Riva,PSL,4,Donald Trump
321,Florida,Lafayette County,Donald Trump,REP,3126,Donald Trump
322,Florida,Lafayette County,Joe Biden,DEM,507,Donald Trump
323,Florida,Lafayette County,Jo Jorgensen,LIB,14,Donald Trump
324,Florida,Lafayette County, Write-ins,WRI,4,Donald Trump
325,Florida,Lafayette County,Don Blankenship,CST,2,Donald Trump
326,Florida,Lafayette County,Howie Hawkins,GRN,2,Donald Trump
327,Florida,Lafayette County,Rocky De La Fuente,ALI,1,Donald Trump
328,Florida,Lafayette County,Gloria La Riva,PSL,1,Donald Trump
329,Florida,Lake County,Donald Trump,REP,125687,Donald Trump
330,Florida,Lake County,Joe Biden,DEM,83273,Donald Trump
331,Florida,Lake County,Jo Jorgensen,LIB,1381,Donald Trump
332,Florida,Lake County, Write-ins,WRI,424,Donald Trump
333,Florida,Lake County,Howie Hawkins,GRN,254,Donald Trump
334,Florida,Lake County,Rocky De La Fuente,ALI,120,Donald Trump
335,Florida,Lake County,Gloria La Riva,PSL,96,Donald Trump
336,Florida,Lake County,Don Blankenship,CST,79,Donald Trump
337,Florida,Lee County,Donald Trump,REP,232075,Donald Trump
338,Florida,Lee County,Joe Biden,DEM,156957,Donald Trump
339,Florida,Lee County,Jo Jorgensen,LIB,1990,Donald Trump
340,Florida,Lee County,Howie Hawkins,GRN,434,Donald Trump
341,Florida,Lee County,Rocky De La Fuente,ALI,186,Donald Trump
342,Florida,Lee County,Gloria La Riva,PSL,174,Donald Trump
343,Florida,Lee County,Don Blankenship,CST,118,Donald Trump
344,Florida,Leon County,Joe Biden,DEM,103364,Donald Trump
345,Florida,Leon County,Donald Trump,REP,57384,Donald Trump
346,Florida,Leon County,Jo Jorgensen,LIB,1340,Donald Trump
347,Florida,Leon County,Howie Hawkins,GRN,271,Donald Trump
348,Florida,Leon County,Gloria La Riva,PSL,122,Donald Trump
349,Florida,Leon County,Rocky De La Fuente,ALI,98,Donald Trump
350,Florida,Leon County,Don Blankenship,CST,71,Donald Trump
351,Florida,Leon County, Write-ins,WRI,0,Donald Trump
352,Florida,Levy County,Donald Trump,REP,16721,Donald Trump
353,Florida,Levy County,Joe Biden,DEM,6189,Donald Trump
354,Florida,Levy County,Jo Jorgensen,LIB,130,Donald Trump
355,Florida,Levy County, Write-ins,WRI,41,Donald Trump
356,Florida,Levy County,Howie Hawkins,GRN,25,Donald Trump
357,Florida,Levy County,Rocky De La Fuente,ALI,14,Donald Trump
358,Florida,Levy County,Don Blankenship,CST,13,Donald Trump
359,Florida,Levy County,Gloria La Riva,PSL,7,Donald Trump
360,Florida,Liberty County,Donald Trump,REP,2846,Donald Trump
361,Florida,Liberty County,Joe Biden,DEM,693,Donald Trump
362,Florida,Liberty County,Jo Jorgensen,LIB,14,Donald Trump
363,Florida,Liberty County, Write-ins,WRI,4,Donald Trump
364,Florida,Liberty County,Rocky De La Fuente,ALI,2,Donald Trump
365,Florida,Liberty County,Howie Hawkins,GRN,2,Donald Trump
366,Florida,Liberty County,Don Blankenship,CST,1,Donald Trump
367,Florida,Liberty County,Gloria La Riva,PSL,0,Donald Trump
368,Florida,Madison County,Donald Trump,REP,5576,Donald Trump
369,Florida,Madison County,Joe Biden,DEM,3747,Donald Trump
370,Florida,Madison County,Jo Jorgensen,LIB,32,Donald Trump
371,Florida,Madison County,Howie Hawkins,GRN,13,Donald Trump
372,Florida,Madison County,Don Blankenship,CST,5,Donald Trump
373,Florida,Madison County,Gloria La Riva,PSL,4,Donald Trump
374,Florida,Madison County,Rocky De La Fuente,ALI,3,Donald Trump
375,Florida,Madison County, Write-ins,WRI,0,Donald Trump
376,Florida,Manatee County,Donald Trump,REP,124827,Donald Trump
377,Florida,Manatee County,Joe Biden,DEM,90007,Donald Trump
378,Florida,Manatee County,Jo Jorgensen,LIB,1284,Donald Trump
379,Florida,Manatee County,Howie Hawkins,GRN,257,Donald Trump
380,Florida,Manatee County,Rocky De La Fuente,ALI,96,Donald Trump
381,Florida,Manatee County,Gloria La Riva,PSL,78,Donald Trump
382,Florida,Manatee County,Don Blankenship,CST,68,Donald Trump
383,Florida,Marion County,Donald Trump,REP,127744,Donald Trump
384,Florida,Marion County,Joe Biden,DEM,74802,Donald Trump
385,Florida,Marion County,Jo Jorgensen,LIB,1180,Donald Trump
386,Florida,Marion County, Write-ins,WRI,355,Donald Trump
387,Florida,Marion County,Howie Hawkins,GRN,228,Donald Trump
388,Florida,Marion County,Gloria La Riva,PSL,98,Donald Trump
389,Florida,Marion County,Rocky De La Fuente,ALI,90,Donald Trump
390,Florida,Marion County,Don Blankenship,CST,80,Donald Trump
391,Florida,Martin County,Donald Trump,REP,61133,Donald Trump
392,Florida,Martin County,Joe Biden,DEM,36873,Donald Trump
393,Florida,Martin County,Jo Jorgensen,LIB,448,Donald Trump
394,Florida,Martin County, Write-ins,WRI,218,Donald Trump
395,Florida,Martin County,Howie Hawkins,GRN,105,Donald Trump
396,Florida,Martin County,Rocky De La Fuente,ALI,38,Donald Trump
397,Florida,Martin County,Don Blankenship,CST,37,Donald Trump
398,Florida,Martin County,Gloria La Riva,PSL,35,Donald Trump
399,Florida,Miami-Dade County,Joe Biden,DEM,617289,Donald Trump
400,Florida,Miami-Dade County,Donald Trump,REP,532460,Donald Trump
401,Florida,Miami-Dade County,Jo Jorgensen,LIB,3325,Donald Trump
402,Florida,Miami-Dade County,Howie Hawkins,GRN,1284,Donald Trump
403,Florida,Miami-Dade County,Rocky De La Fuente,ALI,602,Donald Trump
404,Florida,Miami-Dade County,Gloria La Riva,PSL,578,Donald Trump
405,Florida,Miami-Dade County,Don Blankenship,CST,293,Donald Trump
406,Florida,Monroe County,Donald Trump,REP,25668,Donald Trump
407,Florida,Monroe County,Joe Biden,DEM,21848,Donald Trump
408,Florida,Monroe County,Jo Jorgensen,LIB,346,Donald Trump
409,Florida,Monroe County, Write-ins,WRI,110,Donald Trump
