,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
510,Iowa,Dubuque County,27214,25655,0,0
511,Iowa,Emmet County,3265,1520,0,0
512,Iowa,Fayette County,6145,3834,0,0
513,Iowa,Floyd County,4730,3168,0,0
514,Iowa,Franklin County,3420,1625,0,0
515,Iowa,Fremont County,2711,1078,0,0
516,Iowa,Greene County,3221,1768,0,0
517,Iowa,Grundy County,4911,2194,0,0
518,Iowa,Guthrie County,4272,1985,0,0
519,Iowa,Hamilton County,4956,2842,0,0
520,Iowa,Hancock County,4386,1682,0,0
521,Iowa,Hardin County,5842,2971,0,0
522,Iowa,Harrison County,5563,2439,0,0
523,Iowa,Henry County,6483,3264,0,0
524,Iowa,Howard County,3126,1772,0,0
525,Iowa,Humboldt County,3818,1442,0,0
526,Iowa,Ida County,2876,917,0,0
527,Iowa,Iowa County,6009,3546,0,0
528,Iowa,Jackson County,6940,4029,0,0
529,Iowa,Jasper County,12480,7813,0,0
530,Iowa,Jefferson County,4442,4314,0,0
531,Iowa,Johnson County,22918,59147,0,0
532,Iowa,Jones County,6569,4211,0,0
533,Iowa,Keokuk County,3785,1409,0,0
534,Iowa,Kossuth County,6244,2681,0,0
535,Iowa,Lee County,9763,6539,0,0
536,Iowa,Linn County,53098,70451,0,0
537,Iowa,Louisa County,3500,1726,0,0
538,Iowa,Lucas County,2981,1220,0,0
539,Iowa,Lyon County,5703,1065,0,0
540,Iowa,Madison County,6486,3126,0,0
541,Iowa,Mahaska County,8256,2879,0,0
542,Iowa,Marion County,12657,6170,0,0
543,Iowa,Marshall County,9564,8171,0,0
544,Iowa,Mills County,5572,2500,0,0
545,Iowa,Mitchell County,3665,2048,0,0
546,Iowa,Monona County,3234,1402,0,0
547,Iowa,Monroe County,2975,1078,0,0
548,Iowa,Montgomery County,3653,1583,0,0
549,Iowa,Muscatine County,10823,9372,0,0
550,Iowa,O'Brien County,5857,1567,0,0
551,Iowa,Osceola County,2688,600,0,0
552,Iowa,Page County,5314,2081,0,0
