State,County,Votes_Left,Votes_Right
Kentucky,Logan County,9067,3094
Kentucky,Lyon County,3100,1092
Kentucky,McCracken County,21820,11190
Kentucky,McCreary County,5664,725
Kentucky,McLean County,3633,1074
Kentucky,Madison County,27353,15580
Kentucky,Magoffin County,4174,1213
Kentucky,Marion County,6113,2722
Kentucky,Marshall County,13297,4071
Kentucky,Martin County,3496,403
Kentucky,Mason County,8908,3317
Kentucky,Meade County,10184,3632
Kentucky,Menifee County,2311,750
Kentucky,Mercer County,8506,3033
Kentucky,Metcalfe County,3957,973
Kentucky,Monroe County,4628,657
Kentucky,Montgomery County,8993,3630
Kentucky,Morgan County,4297,1172
Kentucky,Muhlenberg County,10496,3544
Kentucky,Nelson County,15703,7188
Kentucky,Nicholas County,2407,954
Kentucky,Ohio County,8582,2404
Kentucky,Oldham County,22651,14504
Kentucky,Owen County,4292,1098
Kentucky,Owsley County,1670,216
Kentucky,Pendleton County,5515,1322
Kentucky,Perry County,8118,2350
Kentucky,Pike County,20279,4862
Kentucky,Powell County,3966,1281
Kentucky,Pulaski County,25441,5664
Kentucky,Robertson County,884,253
Kentucky,Rockcastle County,6577,1134
Kentucky,Rowan County,5994,3880
Kentucky,Russell County,7506,1329
Kentucky,Scott County,17764,10564
Kentucky,Shelby County,15054,8076
Kentucky,Simpson County,5888,2681
Kentucky,Spencer County,8737,2530
Kentucky,Taylor County,9376,2961
Kentucky,Todd County,4060,1202
Kentucky,Trigg County,5487,1791
Kentucky,Trimble County,3227,1012
Kentucky,Union County,4965,1529
Kentucky,Warren County,31790,22477
Kentucky,Washington County,4482,1644
Kentucky,Wayne County,7430,1700
Kentucky,Webster County,4506,1412
Kentucky,Whitley County,12567,2552
Kentucky,Wolfe County,2097,837
Kentucky,Woodford County,8362,6530
Louisiana,Acadia Parish,22596,5443
Louisiana,Allen Parish,7574,2108
Louisiana,Ascension Parish,40682,20397
Louisiana,Assumption Parish,7271,3833
Louisiana,Avoyelles Parish,12028,4979
Louisiana,Beauregard Parish,13575,2542
Louisiana,Bienville Parish,3891,3066
Louisiana,Bossier Parish,38065,15658
Louisiana,Caddo Parish,47927,54993
Louisiana,Calcasieu Parish,55062,25982
Louisiana,Caldwell Parish,3976,745
Louisiana,Cameron Parish,3670,324
Louisiana,Catahoula Parish,3541,1269
Louisiana,Claiborne Parish,3770,2731
Louisiana,Concordia Parish,5550,3177
Louisiana,De Soto Parish,9111,5446
Louisiana,East Baton Rouge Parish,88396,115533
